author,party,date,text,topic_tags,sentiment_tags
ציפי חוטובלי,הליכוד,"11 במאי 2018, 11:40","['השבוע התקבלה החלטה מ ה חשובות ל ה בטחון ישראל', 'טראמפ הכריז על פרישה מ הסכם ה גרעין', 'וישראל פעלה ב ה סוריה כדי למנוע התבססות איראנית ב ה חזית ה צפונית', 'צפו ב ה דברים ש אמרתי ב ה נושאים ה אלה ל', 'תכנית ה דגל של ה', 'אני מברכת את ראש ממשלת ישראל ב נימין נתניהו', 'ש מנהל מערכה עיקשת נגד איראן ל ה מעלה מ 15 שנה', 'ש בת שלום', 'ו תודה ל כל ה לוחמים ש ל אנחנו ש שומרים על ה גבולות ש ל אנח']","[0, 1, 0, 0, 0, 2, 2, 0, 0]","[2, 1, 2, 2, 2, 1, 0, 2, 2]"
בנימין נתניהו,הליכוד,"25 בינואר 2018, 14:51","['שידור חי', 'פגישת ראש ה ממשלה בנימין נתניהו ו נשיא ארהב דונלד טרא']","[0, 2]","[2, 0]"
עמיר פרץ,העבודה,"3 בספטמבר 2019, 08:42","['ה ממשלה ה באה תצטרך להתמודד עם גרעון חמור ש ממשלת נתניהו מובילה אל הוא', 'נתניהו ו כחלון מתכננים לכסות את בור מיליארדי ה שקלים על ידי גזירות כלכליות קשות העלאת מיסים', 'קיצוץ ב ה שירותים ה חברתיים ה חשובים ביותר', 'ביטול התחייבויות ו עוד', 'ב ה עלי עסקים', 'זוגות צעירים', 'מעמד ה ביניים ה משבר ה זה יפגע ב ה כולנו', 'רק כיפת ברזל חברתית', 'ה תכנית ה כלכלית של ה עבודה גשר', 'תגן על אזרחי ישראל מ ה גזירות ש ב ה דרך', 'תוביל ל צמצום ה פערים ב ישראל ו ל צמיחה ב ה משק כי אצל אנחנו בני אדם לפני ה ']","[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, 0, 2, 2, 2, 2, 2, 2, 2]"
יולי - יואל אדלשטיין,הליכוד,"28 באוגוסט 2019, 18:08","['גם דוברי ה רוסית מצביעים ה ליכוד', 'בפני קהל מדהים של 2', '000 איש ב ה בת ים', 'ליכוד אחד גדול מול כל ה שמאל', 'מפלגת ה ליכוד ב ה נימין נתני']","[2, 0, 0, 2, 2]","[1, 2, 2, 1, 0]"
משה יעלון,כחול לבן,"23 באוגוסט 2019, 06:06","['שוב שקר של נתניהו', 'מי ש עשה דיל עם איימן עודה ל פיזור הכנסת מעליל עלילות שקר', 'כל עוד ה מפלגות ה ערביות לא מכירות ב מדינת ישראל כ ה יהודית ו דמוקרטית לא נשב עם הן ב ה קואליציה', 'ו כ חול לבן היא ה אלטרנטיבה ה שלטונית ה יחידה ל ניהול ה מדינה', 'ה בוקר התראיינתי אצל עידן קוולר ב גלצ', 'מוזמנים להאז']","[2, 2, 0, 0, 0, 0]","[0, -1, 2, 2, 2, 2]"
מיקי לוי,כחול לבן,"16 באוגוסט 2019, 08:14","['האם אמסלם מתחיל לשרטט ב שם אדונו נתניהו את ה מתווה ה מסתמן מול כתבי ה אישום ה צפויים כנגד רהמ בעוד 3 חודשים', 'כך או כך אסור להפוך את הכנסת ל ה עיר מ קלט ל ה עבריינים', 'שר ו ראש ממשלה ש הוחלט להגיש נגד הם כתב אישום', 'חייבים להתפטר', 'לעמוד ל ה דין ו לברר את ענייניהם ב בית ה משפט', 'בלי קיזוזים ו בלי ה נחות', 'מגיע ל אזרחי ישראל מערכת פוליטית נקייה מ שחיתות פוליטית ש פוגעת ב ה הם ו משרתת אינטרסים זר']","[2, 0, 2, 2, 2, 0, 2]","[0, 2, 0, -1, -1, 2, -1]"
בנימין נתניהו,הליכוד,"7 באוגוסט 2019, 12:47","['ל ה ישראל יש כיפת ברזל ו אגרוף ברזל', 'ה מערכות ש ל אנחנו יודעות להתמודד עם כל איום גם ב ה הגנה ו גם ב ה התקפה', 'לא הייתי ממליץ ל אויבנו לנסות את אנחנו', 'ב נימין נתניהו', 'ראש ממשלת ישר']","[0, 0, 0, 2, 2]","[2, 2, 2, 0, 1]"
איציק שמולי,העבודה,"6 באוגוסט 2019, 15:53","['צדק חברתי נוסח נתניהו', 'כ חלון ו ה ימין', 'כשיש עודפים ב ה תקציב מחלקים עוד ל חזקים ו ל מקורבים כש הוא חסר ה חלשים הם ה ראשונים לשלם את ה מחיר', 'חברתיים עא']","[2, 0, 2, 0]","[0, 2, -1, 2]"
ישראל כץ,הליכוד,"3 באוגוסט 2019, 18:31","['ש בת של זיגזוגים נוסח ליברמן', 'ב ה בוקר מתחיל ב ה דרישה ל ה רוטציה עם נתניהו ו ב ה ערב', 'בשל ה תקפות ה תקשורת', 'עובר ל מתקפה אישית פרועה נגד נתניהו ו הצעה להחליף את הוא ב ראשות ה ליכוד', 'ה ליכוד לא מזגזג', 'לא תהיה החלפה ו לא תהיה רוטצ']","[0, 2, 0, 2, 2, 0]","[2, 0, 2, 1, 1, 2]"
אופיר אקוניס,הליכוד,"1 באוגוסט 2019, 05:41","['ב בחירות 92 הימין לא היה מאוחד', 'הפסיד ו קיבלנו את אוסלו', 'עוד לא מאוחר להקים רשימה מאוחדת אמיתית של כל ה מפלגות ש מימין ל ה ליכוד', 'מה ש לא נעשה עד עכשיו', 'ו ב כל מקרה', 'ב יום ה בוחר זכרו', 'רק פתק אחד מ בטיח הקמת ממשלה לאומית ב ראשות בנימין נתניהו מחל', 'ה ליכוד', 'צפו ו שתפו את ה אמת', 'מתוך ה עולם ה בוקר', 'רשת ']","[0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0]","[2, 2, 0, 0, 2, 2, 1, 0, 2, 2, 2]"
